ompT, b0565
rmf, b0953
b1146, b1146
tnaL, b3707
b1145, b1145
b2085, b2085
cspD, b0880
gatA, b2094
b0701, b0701
glf, b2036
b1824, b1824
yciE, b1257
ymfI, b1143
fruL, b0079
creD, b4402
ymfE, b1138
wbbI, b2034
ymfD, b1137
rhoL, b3782
wbbK, b2032
b0725, b0725
yjfY, b4201
yaiV, b0375
spr, b2175
kgtP, b2587
yceO, b1058
b1550, b1550
b2376, b2376
rfaZ, b3624
ymgB, b1166
evgS, b2370
rfbA, b2039
ycbR, b0939
mcrA, b1159
ymgA, b1165
ymfJ, b1144
ymgC, b1167
lacA, b0342
b1983, b1983
yfaH, b2238
pheL, b2598
yfjN, b2630
b2071, b2071
yqeJ, b2848
ybcU, b0557
rfbX, b2037
yqgB, b2939
ycgJ, b1177
b1157, b1157
pqqL, b1494
rfaY, b3625
b1432, b1432
rfaL, b3622
rpsV, b1480
rfaS, b3629
wbbJ, b2033
yi5A, b3557
yi41, b4280
ymfH, b1142
yqeH, b2846
yrbK, b3199
gatR_2, b2090
ycbQ, b0938
hdeB, b3509
rfaK, b3623
b2857, b2857
pin, b1158
ycgY, b1196
b2856, b2856
yiaG, b3555
yigP, b3836
rfbC, b2038
rfbB, b2041
b0542, b0542
yibG, b3596
b1500, b1500
yafQ, b0225
rfaQ, b3632
lit, b1139
b1052, b1052
b1724, b1724
b1675, b1675
birA, b3975
hha, b0460
yqeK, b2849
b2083, b2083
b0667, b0667
rfaB, b3628
sdiA, b1916
b1420, b1420
yigR, b3837
b1141, b1141
ybbV, b0510
rfaJ, b3626
b0671, b0671
yfbK, b2270
yjcW, b4089
ygeG, b2851
ycgW, b1160
yabQ, b0057
yjgJ, b4253
b1498, b1498
ycfL, b1104
appY, b0564
b1355, b1355
b1155, b1155
b1777, b1777
b1425, b1425
ycgL, b1179
intF, b0281
b1973, b1973
wbbH, b2035
rfaI, b3627
rfbD, b2040
yzgL, b3427
b2352, b2352
yceP, b1060
yqgC, b2940
sfa, b0991
yccE, b1001
yigE, b3817
pphB, b2734
bax, b3570
yehD, b2111
ycgZ, b1164
pyrI, b4246
b2656, b2656
yefM, b2017
leuL, b0075
ais, b2252
