locus_tag,GCI,gene_name
b0010,-0.22470911284799552,satP
b0011,-0.3263099674723371,yaaW
b0014,-0.002057572218519746,dnaK
b0016,-0.15954999127760566,insL-1
b0018,-0.2375737052098726,mokC
b0019,-0.47028772393323254,nhaA
b0020,-0.3884388640306249,nhaR
b0030,-0.008672587718136886,rihC
b0032,-0.10220942717425353,carA
b0036,-0.07950972477882258,caiD
b0037,-0.06653450168371226,caiC
b0040,-0.17730174841657698,caiT
b0041,-0.19218452846299744,fixA
b0043,-0.17531862431042736,fixC
b0045,-0.2995231059480931,yaaU
b0046,-0.22808679270786825,kefF
b0047,-0.2129093850853858,kefC
b0048,-0.42970069294390134,folA
b0049,-0.3664305689100952,apaH
b0050,-0.42233016838589543,apaG
b0051,-0.33463655366032585,rsmA
b0052,-0.1720144932402495,pdxA
b0054,-0.18841075304978552,lptD
b0060,-0.261003368990924,polB
b0061,-0.18082550192725622,araD
b0062,-0.08050939530989148,araA
b0063,-0.11208107251405873,araB
b0064,-0.30240557596632184,araC
b0065,-0.5062492079336104,yabI
b0066,-0.06312003421908907,thiQ
b0067,-0.11401180174109642,thiP
b0068,-0.19701768605286052,thiB
b0070,-0.3594714994152455,setA
b0071,-0.31305442787236815,leuD
b0072,-0.21634238851171175,leuC
b0073,-0.23184094164226504,leuB
b0074,-0.364526983124693,leuA
b0076,-0.179103351304113,leuO
b0077,-0.2128171764771902,ilvI
b0078,-0.18143209959182047,ilvH
b0081,-0.027851667799890956,mraZ
b0084,-0.09347640878075089,ftsI
b0087,-0.007949237766575037,mraY
b0089,-0.20450945190997571,ftsW
b0092,-0.14962116754933039,ddlB
b0093,-0.13748399649253892,ftsQ
b0094,-0.06660029710615464,ftsA
b0096,-0.28996398658785105,lpxC
b0101,-0.24619671431817097,yacG
b0106,-0.4056283355826382,hofC
b0110,-0.0773624515724327,ampD
b0111,-0.1442151417552036,ampE
b0112,-0.27495443694336574,aroP
b0113,-0.1682654808644218,pdhR
b0117,-0.315944344956564,yacH
b0118,-0.3224037308069168,acnB
b0122,-0.30339529123532205,yacC
b0124,-0.2509548397251134,gcd
b0126,-0.30272014347050935,can
b0128,-0.18244465331183013,yadH
b0129,-0.27147051745554324,yadI
b0130,-0.13261658889421216,yadE
b0132,-0.3171849970919316,rpnC
b0135,-0.3132359075333656,yadC
b0137,-0.4321149646649938,yadL
b0139,-0.39054131528262587,htrE
b0142,-0.26886535044850557,folK
b0143,-0.06308797791917188,pcnB
b0144,-0.2212946037882239,gluQ
b0146,-0.494457023089425,sfsA
b0147,-0.020658608291527478,thpR
b0150,-0.15389960496954713,fhuA
b0151,-0.1046374654439408,fhuC
b0152,-0.30906372918765757,fhuD
b0153,-0.18823279019716657,fhuB
b0155,-0.21149360790683405,clcA
b0156,-0.42998394411602947,erpA
b0157,-0.29211975641547594,yadS
b0158,-0.08530687272065163,btuF
b0160,-0.11633695904903972,dgt
b0161,-0.07434837000296225,degP
b0162,-0.5418934772099132,cdaR
b0163,-0.3035871396725772,yaeH
b0174,-0.3550553538130509,ispU
b0175,-0.312936575297496,cdsA
b0176,-0.4156117795487968,rseP
b0177,-0.03437174861169247,bamA
b0186,-0.4247781483779303,ldcC
b0187,-0.3413026376102183,yaeR
b0188,-0.17605829134797568,tilS
b0189,-0.04369241604807831,rof
b0191,-0.011866891391456292,arfB
b0192,-0.14945113018862266,nlpE
b0193,-0.2862247925258506,yaeF
b0195,-0.01356306280138562,trmO
b0197,-0.08886957107200297,metQ
b0198,-0.2959209109684222,metI
b0199,-0.36571685236084117,metN
b0200,-0.0026322087595296987,gmhB
b0207,-0.21656286824871035,dkgB
b0208,-0.03759297742873148,yafC
b0209,-0.4601192307316438,yafD
b0210,-0.1472021306645518,yafE
b0211,-0.16698778309799142,mltD
b0212,-0.3829552272268184,gloB
b0213,-0.25013266468793793,yafS
b0215,-0.09418115568249551,dnaQ
b0217,-0.09806748931900416,yafT
b0219,-0.250222089518095,yafV
b0220,-0.4234177695550212,ivy
b0221,-0.5685181802854649,fadE
b0224,-0.5729657115615652,yafK
b0225,-0.3542692352470206,yafQ
b0226,-0.16994591607180046,dinJ
b0227,-0.488319891791302,yafL
b0228,-0.5408295639718308,rayT
b0229,-0.4556726410013157,lfhA
b0230,-0.29219239805838293,lafU
b0231,-0.22933246432292204,dinB
b0232,-0.3755616681748262,yafN
b0233,-0.38446837810840345,yafO
b0234,-0.44228006983211854,yafP
b0238,-0.13496863365093717,gpt
b0240_2,-0.4444472153533906,NA
b0241,-0.09202263568861777,phoE
b0250,-0.3327532620955767,ykfB
b0252,-0.322155873530931,yafZ
b0253,-0.38556868139865874,ykfA
b0254,-0.481988030061451,perR
b0258,-0.4089234591359597,ykfC
b0259,-0.12029877692010334,insH-1
b0260,-0.40903240223793147,mmuP
b0261,-0.20522336914572256,mmuM
b0265,-0.08262613269657491,insA-2
b0266,-0.15746814349223034,yagB
b0268,-0.09386083068404615,yagE
b0269,-0.10915400542178448,yagF
b0270,-0.03798352737029243,yagG
b0275,-0.05070861429595184,insA-3
b0276,-0.35754038057531545,yagJ
b0277,-0.2963862707532207,yagK
b0278,-0.1811023538783382,yagL
b0280,-0.5455832944484129,yagN
b0281,-0.15642022755523033,intF
b0283,-0.4124730402259837,paoD
b0284,-0.49069904537565245,paoC
b0285,-0.3255205818010889,paoB
b0286,-0.3925249637888245,paoA
b0288,-0.11621733425221335,ykgJ
b0289,-0.3326928856541926,ecpE
b0290,-0.27377445822324475,ecpD
b0291,-0.33526005057635955,ecpC
b0293,-0.11432205658703112,ecpA
b0294,-0.37552259017082873,ecpR
b0295,-0.165098151134714,ykgL
b0300,-0.481831170868036,ykgA
b0304,-0.4921159172589912,rclA
b0305,-0.3266724831652249,rclR
b0306,-0.1738173525460311,ykgE
b0307,-0.3655278541269737,ykgF
b0308,-0.34892969816203284,ykgG
b0313,-0.08239438953682804,betI
b0314,-0.2801649310872063,betT
b0315,-0.10367711712184433,pdeL
b0316,-0.35937855603922614,yahB
b0318,-0.39919057327342383,yahD
b0320,-0.27433676828095876,yahF
b0321,-0.10050954277498565,yahG
b0325,-0.4762017591376702,yahK
b0328,-0.3423393635040475,yahN
b0329,-0.6246096877122576,yahO
b0330,-0.5478454888006378,prpR
b0331,-0.5894741578729684,prpB
b0333,-0.5553778177026203,prpC
b0334,-0.5164719588986599,prpD
b0335,-0.5322357621247255,prpE
b0336,-0.016026799968820813,codB
b0338,-0.11143825615266856,cynR
b0339,-0.29175848213129973,cynT
b0340,-0.3713708478004107,cynS
b0341,-0.20520210963600308,cynX
b0342,-0.3983319260738391,lacA
b0343,-0.32822198821266874,lacY
b0345,-0.46996058893362885,lacI
b0346,-0.5292629887172666,mhpR
b0347,-0.3878823605011548,mhpA
b0348,-0.3157794040397318,mhpB
b0349,-0.41520281618824795,mhpC
b0350,-0.33568658773140847,mhpD
b0351,-0.32496658917866983,mhpF
b0352,-0.37934602828254627,mhpE
b0353,-0.48382642635753387,mhpT
b0354,-0.16302837654586141,yaiL
b0356,-0.0185730919070549,frmA
b0357,-0.013120542768567552,frmR
b0358,-0.5115648748115175,yaiO
b0363,-0.5499445590593094,yaiP
b0365,-0.4073599582433955,tauA
b0366,-0.30658854733366653,tauB
b0367,-0.23912183399126508,tauC
b0368,-0.2860176331809115,tauD
b0373,-0.19107318740026275,insE-2
b0376,-0.3889077898727802,ampH
b0377,-0.22026040936663874,sbmA
b0378,-0.3868005035770477,yaiW
b0379,-0.3837644241577038,yaiY
b0380,-0.41918611534223776,yaiZ
b0382,-0.2720086319179434,iraP
b0383,-0.15054393648312817,phoA
b0384,-0.5434613104906953,psiF
b0385,-0.5393123184703359,dgcC
b0387,-0.046104722397685226,yaiI
b0388,-0.3503012254108795,aroL
b0389,-0.40550913590463594,yaiA
b0390,-0.6068567760307106,aroM
b0392,-0.4698801285960293,ykiA
b0394,-0.2384382903411936,mak
b0396,-0.38292652001192184,araJ
b0398,-0.024044809484050293,sbcD
b0399,-0.4547474917146015,phoB
b0400,-0.3353827006574329,phoR
b0403,-0.16307804947716978,malZ
b0404,-0.5454413924941839,acpH
b0405,-0.08570372473745698,queA
b0407,-0.12834411741815682,yajC
b0409,-0.22153500423166955,secF
b0412,-0.35000697606281256,yajI
b0417,-0.35406442620735634,thiL
b0418,-0.3143164492165345,pgpA
b0419,-0.4235803580034683,yajO
b0420,-0.02976881074098801,dxs
b0421,-0.235909675374779,ispA
b0422,-0.0442812495374313,xseB
b0427,-0.14455588801757957,yajR
b0432,-0.07859882056953937,cyoA
b0433,-0.06535142098964214,ampG
b0435,-0.3625326371150165,bolA
b0440,-0.32889283203778524,hupB
b0443,-0.5518530207721594,fadM
b0445,-0.21314698543047192,ybaE
b0446,-0.19547965005491402,cof
b0447,-0.18278505409351997,decR
b0448,-0.27636789564123215,mdlA
b0449,-0.11428721175330278,mdlB
b0451,-0.12082067605455359,amtB
b0453,-0.4529353206991801,ybaY
b0454,-0.2465735269540966,atl
b0456,-0.6104795324576788,ybaA
b0457,-0.5299888763133975,pdeB
b0458,-0.32064720717829426,ylaC
b0460,-0.08572189613054247,hha
b0461,-0.1501136044543847,tomB
b0464,-0.24884605482982786,acrR
b0468,-0.3658416012614317,ybaN
b0474,-0.04524261383101081,adk
b0476,-0.39364206778571675,aes
b0478,-0.13100748240562865,ybaL
b0480,-0.1983664067419953,ushA
b0483,-0.21340202738429284,ybaQ
b0485,-0.34238567676683795,glsA
b0486,-0.3418889068401815,ybaT
b0487,-0.06965079979749218,cueR
b0489,-0.028789738752296064,qmcA
b0490,-0.030529831295920427,fetA
b0491,-0.19886483499457755,fetB
b0495,-0.08314742133193546,ybbA
b0496,-0.3362124324420971,ybbP
b0497,-0.22896092193779136,rhsD
b0498,-0.34003998314322287,ybbC
b0499,-0.3710066845082771,ylbH
b0502_1,-0.4651497069574102,NA
b0504,-0.2633681031900951,allS
b0505,-0.2417233061037241,allA
b0506,-0.3026715746766592,allR
b0507,-0.3373434779210977,gcl
b0508,-0.23752188545962666,hyi
b0509,-0.1134224888121757,glxR
b0511,-0.33321499110587366,ybbW
b0512,-0.1964429476268606,allB
b0513,-0.38249522201971986,ybbY
b0514,-0.2636341893889225,glxK
b0515,-0.2589428378080955,allE
b0516,-0.30805614527786834,allC
b0517,-0.36925928017369425,allD
b0518,-0.10407387824425086,fdrA
b0520,-0.2539206997190249,ylbF
b0521,-0.34389916102464874,ybcF
b0522,-0.24925336437210804,purK
b0523,-0.31014343462310706,purE
b0525,-0.2500675528453112,ppiB
b0527,-0.22639973620153153,ybcI
b0528,-0.07808872096856173,ybcJ
b0532,-0.411438405686165,sfmD
b0533,-0.3947606126083012,sfmH
b0537,-0.4999306769368714,intD
b0543,-0.3689660417144362,emrE
b0544,-0.4955032356748062,ybcK
b0545,-0.5492744900076137,ybcL
b0546,-0.5384512663252561,ybcM
