locus_tag,mean_exp,gci,gene_name
b0014,10.574619893827304,-0.00205757221851978,dnaK
b0016,6.152689173815507,-0.15954999127760555,insL-1
b0019,6.1152860665425255,-0.4702877239332325,nhaA
b0032,8.443878303219888,-0.10220942717425364,carA
b0048,6.779689642586691,-0.4297006929439014,folA
b0049,6.139468696727094,-0.3664305689100954,apaH
b0050,6.7938369246739345,-0.4223301683858956,apaG
b0051,7.806519413507349,-0.334636553660326,rsmA
b0052,6.893903490834465,-0.1720144932402495,pdxA
b0054,9.07843531045794,-0.1884107530497856,lptD
b0064,6.2931686822227,-0.3024055759663218,araC
b0068,7.165848267798591,-0.1970176860528605,thiB
b0071,9.843949510556923,-0.31305442787236837,leuD
b0072,10.09433950664673,-0.21634238851171175,leuC
b0073,9.896310692804388,-0.2318409416422652,leuB
b0074,9.822735270948575,-0.3645269831246932,leuA
b0077,8.341260328221347,-0.21281717647719037,ilvI
b0078,7.928955833175538,-0.1814320995918204,ilvH
b0081,7.725440325555971,-0.02785166779989093,mraZ
b0084,7.433348729522381,-0.09347640878075096,ftsI
b0087,6.868034296886598,-0.007949237766575,mraY
b0089,6.931363913154577,-0.20450945190997585,ftsW
b0092,7.966722088762722,-0.14962116754933044,ddlB
b0093,7.726898131174172,-0.137483996492539,ftsQ
b0094,7.7388864422377,-0.06660029710615475,ftsA
b0096,10.546947994465553,-0.28996398658785116,lpxC
b0110,5.809739892314939,-0.07736245157243268,ampD
b0111,5.575666221739916,-0.14421514175520353,ampE
b0112,8.958674524932565,-0.2749544369433659,aroP
b0113,7.404452590110141,-0.16826548086442183,pdhR
b0118,10.584252726958953,-0.3224037308069169,acnB
b0122,6.585097749150087,-0.303395291235322,yacC
b0124,6.496689489866564,-0.25095483972511357,gcd
b0126,9.906378004144266,-0.30272014347050935,can
b0128,6.124806599863858,-0.18244465331183007,yadH
b0143,8.494320729056263,-0.06308797791917188,pcnB
b0146,6.7857764443592545,-0.4944570230894252,sfsA
b0150,8.494833070262791,-0.1538996049695472,fhuA
b0151,5.918720213158611,-0.10463746544394074,fhuC
b0152,5.588326210214078,-0.3090637291876577,fhuD
b0156,7.805927226158588,-0.4299839441160296,erpA
b0160,5.901316776366761,-0.11633695904903976,dgt
b0161,7.586478715020589,-0.07434837000296238,degP
b0163,8.510067061953443,-0.3035871396725772,yaeH
b0174,7.712090844304104,-0.3550553538130512,ispU
b0175,7.1100789740078385,-0.3129365752974959,cdsA
b0176,8.405346602570095,-0.4156117795487968,rseP
b0177,9.345407204120416,-0.03437174861169227,bamA
b0188,5.944710845955638,-0.17605829134797568,tilS
b0189,6.619294884978535,-0.04369241604807829,rof
b0192,6.22055055798175,-0.1494511301886227,nlpE
b0195,5.8459803814757505,-0.01356306280138562,trmO
b0197,10.421076382441658,-0.08886957107200316,metQ
b0198,7.502179430361289,-0.2959209109684223,metI
b0199,8.016405986415693,-0.365716852360841,metN
b0200,6.791191236692402,-0.00263220875952969,gmhB
b0207,5.658991944780788,-0.2165628682487106,dkgB
b0209,7.628214936353152,-0.46011923073164435,yafD
b0211,8.718016454810565,-0.16698778309799128,mltD
b0212,6.351300029055977,-0.3829552272268184,gloB
b0215,7.381254773809145,-0.0941811556824956,dnaQ
b0220,7.860966591905777,-0.4234177695550213,ivy
b0224,8.094735637402207,-0.5729657115615653,yafK
b0226,6.6536511882246385,-0.1699459160718005,dinJ
b0238,7.670641155396982,-0.13496863365093717,gpt
b0240_2,7.97529444221729,-0.4444472153533906,NA
b0259,7.941430955004458,-0.12029877692010332,insH-1
b0261,5.900388054894103,-0.2052233691457225,mmuM
b0280,7.562035739475787,-0.5455832944484128,yagN
b0281,6.743772733862079,-0.1564202275552304,intF
b0313,5.763368400767471,-0.08239438953682807,betI
b0325,6.841316829281951,-0.4762017591376705,yahK
b0329,7.183098281750891,-0.6246096877122574,yahO
b0336,6.258675172050407,-0.01602679996882081,codB
b0345,6.052909795411488,-0.46996058893362885,lacI
b0346,5.742486208938958,-0.529262988717267,mhpR
b0354,5.833460842012246,-0.16302837654586155,yaiL
b0356,6.915583933554659,-0.01857309190705488,frmA
b0373,5.57653644880419,-0.19107318740026272,insE-2
b0376,6.389363690634741,-0.3889077898727802,ampH
b0378,5.844699649609746,-0.3868005035770476,yaiW
b0382,5.970417699985552,-0.2720086319179434,iraP
b0387,5.709857960535508,-0.04610472239768522,yaiI
b0388,7.717521877602227,-0.3503012254108795,aroL
b0390,5.874029241440053,-0.6068567760307108,aroM
b0405,6.13927219571227,-0.08570372473745698,queA
b0407,9.184721974459428,-0.1283441174181568,yajC
b0409,7.917949653495038,-0.22153500423166955,secF
b0417,6.226689151736382,-0.35406442620735634,thiL
b0418,7.461635459159162,-0.31431644921653473,pgpA
b0419,7.047040538706622,-0.4235803580034682,yajO
b0420,7.525047541642088,-0.02976881074098794,dxs
b0421,7.3964111527665235,-0.23590967537477897,ispA
b0422,6.829372040585251,-0.04428124953743134,xseB
b0432,10.341910468862782,-0.07859882056953933,cyoA
b0433,5.8749357828257365,-0.06535142098964213,ampG
b0435,7.822594735533179,-0.3625326371150164,bolA
b0440,10.139408383871888,-0.32889283203778535,hupB
b0453,6.50320224223204,-0.45293532069918,ybaY
b0454,6.502488091636921,-0.24657352695409657,atl
b0458,6.209064969529562,-0.3206472071782943,ylaC
b0460,7.117857625260984,-0.0857218961305424,hha
b0461,6.462902003458395,-0.15011360445438468,tomB
b0474,9.422774501305298,-0.04524261383101077,adk
b0478,6.219277042423009,-0.1310074824056288,ybaL
b0480,6.933071331306205,-0.19836640674199513,ushA
b0483,6.5672930679346555,-0.21340202738429295,ybaQ
b0487,6.282423491033525,-0.06965079979749217,cueR
b0489,6.1609843601394605,-0.02878973875229603,qmcA
b0506,7.813877642543221,-0.3026715746766592,allR
b0522,7.717893768893067,-0.24925336437210807,purK
b0523,7.342793119161785,-0.3101434346231071,purE
b0525,10.073980985111575,-0.25006755284531107,ppiB
b0537,6.507336846838879,-0.49993067693687143,intD
b0552,7.933133247015295,-0.11470632066362858,insH-2
b0553_1,10.65052510729052,-0.17611492107177765,NA
b0565,11.825984449776064,-0.16314472514851094,ompT
b0570,5.877089854168835,-0.4643721753987427,cusS
b0571,7.006970935813148,-0.39041096839701434,cusR
b0572,7.553685947647744,-0.2305233997152915,cusC
b0573,7.712534976312286,-0.20678994743338017,cusF
b0574,7.219255307904427,-0.20157507870816596,cusB
b0575,6.088673198359168,-0.2534592371140858,cusA
b0576,5.717543912721222,-0.18911161828190204,pheP
b0577,5.707051403380374,-0.1429045351959605,ybdG
b0582,6.148693745514285,-0.15475498813212685,insL-2
b0584,6.210169069539055,-0.2048916922965381,fepA
b0586,6.065092496649086,-0.19013940167462287,entF
