locus_tag,GCI,gene_name
b0002,-0.0364443409782808,thrA
b0003,-0.032872636581347335,thrB
b0004,-0.01591733768076687,thrC
b0005,-0.0318642449329169,yaaX
b0010,-0.42795424728417547,satP
b0011,-0.3564775077152715,yaaW
b0014,-0.07797128373522033,dnaK
b0015,-0.01666348607696495,dnaJ
b0016,-0.17628971877690808,insL-1
b0018,-0.32088750068208427,mokC
b0019,-0.4532724796084211,nhaA
b0020,-0.43558710499302905,nhaR
b0022,-0.1594226994102029,insA-1
b0032,-0.10658598697011733,carA
b0036,-0.005710309797446004,caiD
b0037,-0.10202293356861039,caiC
b0040,-0.3243630188912114,caiT
b0041,-0.34779136952274975,fixA
b0043,-0.3443103924059738,fixC
b0045,-0.4624398280189735,yaaU
b0046,-0.22323900120411805,kefF
b0047,-0.17260004889034344,kefC
b0048,-0.36700715828204034,folA
b0049,-0.2985923016141384,apaH
b0050,-0.5632765544958743,apaG
b0051,-0.302266975179751,rsmA
b0052,-0.04048885267276073,pdxA
b0054,-0.1313213556989471,lptD
b0060,-0.3666773231034064,polB
b0061,-0.1864863341199617,araD
b0062,-0.14337476944717048,araA
b0063,-0.14171146814731728,araB
b0064,-0.16873622260782017,araC
b0065,-0.3357366728280978,yabI
b0066,-0.24141599212172957,thiQ
b0067,-0.2320026203658937,thiP
b0068,-0.29945634965586704,thiB
b0070,-0.21516356814996296,setA
b0071,-0.5244203183939862,leuD
b0072,-0.454366489507008,leuC
b0073,-0.422996103048501,leuB
b0074,-0.5003667092197216,leuA
b0076,-0.13452646193391102,leuO
b0077,-0.28040969449729447,ilvI
b0078,-0.24012159352355558,ilvH
b0080,-0.07183526989128637,cra
b0089,-0.07982741147647363,ftsW
b0092,-0.006761420495297179,ddlB
b0096,-0.3315169870585842,lpxC
b0101,-0.40990212541265164,yacG
b0106,-0.38015535278951756,hofC
b0107,-0.07666167323131341,hofB
b0110,-0.12488012954159086,ampD
b0111,-0.06782482756669417,ampE
b0112,-0.3950650093623848,aroP
b0113,-0.2226341071333239,pdhR
b0117,-0.5033810358923333,yacH
b0118,-0.18803996530765413,acnB
b0122,-0.33873760050440865,yacC
b0124,-0.3480840862819797,gcd
b0126,-0.24091183084783735,can
b0128,-0.24323634952219658,yadH
b0129,-0.22744301341915743,yadI
b0130,-0.15639741186902795,yadE
b0131,-0.02197796806036181,panD
b0132,-0.3635183886116634,rpnC
b0135,-0.3425436377089115,yadC
b0137,-0.4854005420640674,yadL
b0139,-0.5697859519007251,htrE
b0142,-0.22369024600588558,folK
b0144,-0.15056549845401898,gluQ
b0146,-0.5312694407142631,sfsA
b0150,-0.25026813925026575,fhuA
b0151,-0.1500817621248731,fhuC
b0152,-0.24085132993609273,fhuD
b0153,-0.10525509204542469,fhuB
b0156,-0.46174304646012476,erpA
b0157,-0.0902088870886071,yadS
b0160,-0.11175651625185222,dgt
b0162,-0.4463699888289012,cdaR
b0163,-0.3580812669177745,yaeH
