locus_tag,GCI,gene_name
b0006,0.2956950151759355,yaaA
b0007,0.24953335843998864,yaaJ
b0008,0.5656002181563232,talB
b0009,0.33162573698533027,mog
b0021,0.04427173673456824,insB-1
b0023,0.20112805359478045,rpsT
b0025,0.44965802532396576,ribF
b0026,0.4767973834147007,ileS
b0027,0.5232587989777187,lspA
b0028,0.043940752003003326,fkpB
b0029,0.16141822879323903,ispH
b0030,0.21118373213278815,rihC
b0031,0.2989919179116185,dapB
b0033,0.08599935105756214,carB
b0034,0.04370516525295801,caiF
b0038,0.1671555125337721,caiB
b0039,0.01186094247415813,caiA
b0042,0.01046879508168111,fixB
b0053,0.39923497106547573,surA
b0055,0.2534131603521073,djlA
b0058,0.23272564150249758,rluA
b0059,0.32144425067935795,rapA
b0069,0.5933771846227724,sgrR
b0081,0.0019433635965552265,mraZ
b0082,0.45205661463803365,rsmH
b0083,0.2518099903182199,ftsL
b0084,0.06723361830120522,ftsI
b0085,0.42243779968961676,murE
b0086,0.33272999923850927,murF
b0087,0.11727808606525,mraY
b0088,0.31500454620642593,murD
b0090,0.5239529384375253,murG
b0091,0.40966797400887,murC
b0093,0.002305426513719867,ftsQ
b0094,0.07854323841322228,ftsA
b0095,0.26450070054188835,ftsZ
b0097,0.23433831656795132,secM
b0098,0.5344291577501561,secA
b0099,0.14591265927723637,mutT
b0102,0.17386290399749785,zapD
b0103,0.148532175870978,coaE
b0104,0.31332198238629344,guaC
b0109,0.2989742108160159,nadC
b0114,0.23294042760134825,aceE
b0115,0.37771547901253755,aceF
b0116,0.2523370702708121,lpd
b0119,0.025409688303741792,yacL
b0120,0.1601645906991652,speD
b0121,0.1668543721320302,speE
b0123,0.2084433913415249,cueO
b0125,0.3804537506606134,hpt
b0127,0.24444171645425852,yadG
b0133,0.4524546759173153,panC
b0134,0.4011824940392256,panB
b0143,0.06753010462131874,pcnB
b0145,0.003264829461335712,dksA
b0147,0.06443096101935553,thpR
b0148,0.27014417564938176,hrpB
b0149,0.14266532170311896,mrcB
b0154,0.7103898564110036,hemL
b0155,0.01288344545741433,clcA
b0158,0.07693598364921142,btuF
b0159,0.09890810710658965,mtn
b0161,0.11239152550665625,degP
b0166,0.39570797514808,dapD
b0167,0.12901438024471745,glnD
b0168,0.3668520548840773,map
b0169,0.6578323953993505,rpsB
b0170,0.7517223412246032,tsf
b0171,0.5041799897763155,pyrH
b0172,0.25230712077316286,frr
b0173,0.019632442725468758,dxr
b0177,0.06482640078689059,bamA
b0178,0.10332054281907514,skp
b0179,0.06787444749630248,lpxD
b0180,0.19560596104851533,fabZ
b0181,0.5125043095423736,lpxA
b0182,0.4245301646526726,lpxB
b0183,0.4250787839183306,rnhB
b0184,0.28511126391199404,dnaE
b0185,0.5040541889916307,accA
b0190,0.04492475054219341,yaeQ
b0194,0.48634662970111797,proS
b0195,0.12190986396568274,trmO
b0196,0.15491764223137722,rcsF
