gene_name,GCI
2020-10-01 00:00:00,-0.7876705626699487
AAC1,-0.7705283259063472
AAP1,-0.7231841963323378
AAT1,-0.7452846066579651
ABD1,-0.7831591739970704
ABF2,-0.867583228310998
ABP140,-0.2289876393142417
ABZ1,-0.041953188329645785
ABZ2,-0.8946001333120238
ACB1,-0.36618680457886743
ACC1,-0.5944743697864551
ACF2,-0.8368702563654179
ACF4,-0.6555704935625651
ACH1,-0.6954375426650306
ACK1,-0.2506740500628066
ACO1,-0.024417616380449224
ACT1,-0.04249400489313673
ADD66,-0.5977372649115931
ADE1,-0.5519717637518285
ADH1,-0.49739240951394653
ADH2,-0.5079712776791296
ADH3,-0.6172556493554314
ADH5,-0.6029518231317077
ADH6,-0.34188654693644926
ADI1,-0.09282695496484415
ADP1,-0.811452048001514
ADR1,-0.7923632341065046
AEP1,-0.4966109855961814
AEP2,-0.17829402607282968
AEP3,-0.5082879705816222
AFG1,-0.36787250214247813
AGC1,-0.3869764846959615
AGX1,-0.7136420002304167
AHA1,-0.6283689137422994
AHP1,-0.5762231133618348
AIM10,-0.5080582152502814
AIM17,-0.34940676403356347
AIM18,-0.8024736758215087
AIM2,-0.810206506331059
AIM21,-0.873435316904265
AIM22,-0.23720305716422677
AIM23,-0.5063213611207006
AIM24,-0.025112425450989857
AIM29,-0.9043114375600498
AIM4,-0.23097159262630584
AIM41,-0.9373626163284978
AIM6,-0.8079315120908476
AIM9,-0.40144748285482534
AKR1,-0.5465914462681104
ALD2,-0.3068642830919545
ALD4,-0.7865142874361157
ALD5,-0.6445233082515937
ALE1,-0.8145258242671686
ALG1,-0.9464856259541765
ALG11,-0.6085366929226658
ALG12,-0.58584639702655406
ALG14,-0.6395942557439991
ALG2,-0.379867820689967
ALG5,-0.00256603002016419
ALG8,-0.46010884189421725
ALG9,-0.7703044839603382
ALT1,-0.16936342579022307
ALT2,-0.4029977383254253
ALY1,-0.26770428864799894
AMD1,-0.18908889122675918
AMD2,-0.456385078263901
AME1,-0.5673653538177494
AMN1,-0.47491325725539063
AMS1,-0.8962269662310945
ANT1,-0.3853323798283363
AOS1,-0.30578717989690657
APA1,-0.10300334333033563
APC11,-0.7612150317051259
APC4,-0.7040143514247247
APC5,-0.11411695891516298
APD1,-0.7832218029714234
APE1,-0.7705114141366691
APE2,-0.046781705326858505
APE3,-0.4109118752020502
APE4,-0.7734105972991939
APL1,-0.32770497968917145
APL2,-0.7486165049720005
APL3,-0.591000566825193
APL4,-0.7928262948054133
APL5,-0.7401832109940445
APL6,-0.5720625231017106
APM1,-0.0567715589599885
APM4,-0.5011059591535917
APN1,-0.7670072600213321
APN2,-0.6680844582179573
APS2,-0.7406926350260042
APS3,-0.38842190033159946
APT2,-0.2771540036544009
ARA1,-0.7229562755529095
ARA2,-0.7829432956098452
ARB1,-0.10533816978786695
ARC15,-0.41784133140526936
ARC35,-0.6324325967845096
ARC40,-0.4231745441316512
ARG1,-0.3325977462485796
ARG2,-0.6140133909625362
ARG3,-0.3671829295762552
ARG4,-0.0075566148721304205
"ARG5,6",-0.3725459755520046
ARG7,-0.3495323323038072
ARG8,-0.4436699875280726
ARG82,-0.002693709409292669
ARK1,-0.717514866057477
ARL1,-0.23594895961466636
ARL3,-0.4703720258773312
ARO1,-0.17950269214723186
ARO3,-0.5131575791330313
ARO4,-0.2858384649276725
