gene_name,GCI
2020-10-01 00:00:00,-0.5502145278030749
AAC1,-0.6891415402684365
AAP1,-0.24908497923301343
AAT1,-0.1398439919740191
AAT2,-0.020720203166698002
ABF2,-0.2913880453366377
ABZ2,-0.9166336848856028
ACB1,-0.6630301694106976
ACC1,-0.8172576768166705
ACF2,-0.6302587852045224
ACF4,-0.40252123448430194
ACH1,-0.6198485716819427
ACK1,-0.4661665845343781
ACS2,-0.09832567123928757
ADE16,-0.5184326943499219
ADH2,-0.5667020958791759
ADH5,-0.5105294719814135
ADI1,-0.7500284561739784
ADP1,-0.4469318907999378
ADR1,-0.8957261040943527
AEP3,-0.618110748952166
AFG1,-0.16268339195743628
AGX1,-0.8620889708951877
AHA1,-0.6395276827958128
AHP1,-0.5686910568778983
AIM17,-0.7772126177094132
AIM18,-0.41150238525210847
AIM19,-0.9444986580147562
AIM2,-0.40955445280118213
AIM21,-0.8470462345505415
AIM23,-0.352607551918516
AIM24,-0.012517078617503497
AIM29,-0.15656556949340278
AIM39,-0.15730507121980913
AIM4,-0.6353345966492279
AIM41,-0.969711823142863
AIM6,-0.17488746313235395
AIM9,-0.5720713781106741
AKL1,-0.8162903464061241
AKR1,-0.35693577368204604
ALD2,-0.7560972248331262
ALD4,-0.7751026371963631
ALD6,-0.13612440538519807
ALE1,-0.7008832456005576
ALG1,-0.8667249344345059
ALG11,-0.3722406287702809
ALG12,-0.32647797688337615
ALG14,-0.0686838949068977
ALG2,-0.28044209883706067
ALG9,-0.3506925896683408
ALO1,-0.29726271182248637
ALT1,-0.30499033718475804
ALT2,-0.7361620020455156
ALY1,-0.2978202256382147
AMD1,-0.3064685135913568
AMD2,-0.3308770574716472
AMS1,-0.9567001122760106
ANT1,-0.5883263623923253
AOS1,-0.6968886509412305
APC11,-0.5262622658677061
APC4,-0.6867913676593805
APC5,-0.2266429104140552
APD1,-0.42228560040801405
APE2,-0.05120974535037863
APE3,-0.7492448413427988
APL1,-0.28643890618823387
APL2,-0.11364039411989557
APN2,-0.907407850167853
APS1,-0.3949016537305664
APS2,-0.584226409680038
APS3,-0.4352214405451977
APT2,-0.19699470417302636
ARA1,-0.96111795217537
ARA2,-0.9000630756752896
ARC15,-0.6525459846325472
ARC18,-0.9451488222381824
ARF2,-0.7718015306796234
ARG1,-0.16091690977693343
ARG82,-0.9213097991323329
ARK1,-0.8940603136424665
ARL3,-0.6118293581146755
ARO1,-0.16984953625278557
ARO80,-0.40766508306849375
ARP3,-0.03711343320798835
ARP4,-0.35413393395226306
ARP6,-0.689476387704769
ARP8,-0.7409777119914451
ART10,-0.9336069705060479
ASI1,-0.9527673051012537
ASK10,-0.637531808480942
ASM4,-0.053710738641459435
AST1,-0.16695556222261823
AST2,-0.9705597318866338
ATE1,-0.6801651798801733
ATG1,-0.8146160258813245
ATG11,-0.8480221277114304
ATG15,-0.7965163563988239
ATG17,-0.910187576952585
ATG18,-0.7627715523244484
ATG20,-0.7548576065363167
ATG21,-0.6478657606107303
ATG23,-0.9480301656526322
ATG26,-0.20765154569569255
ATG27,-0.5716117250984729
ATG3,-0.9005712292806571
ATG32,-0.4686542403271056
ATG38,-0.8562352720287189
ATG4,-0.8747933395014968
ATG40,-0.9324767700066616
ATG5,-0.6296783559846292
ATG7,-0.7827452556702992
ATO2,-0.8056577529820458
ATP1,-0.10823149107402269
ATP15,-0.7450170043152358
ATP18,-0.1531168599556971
ATP7,-0.39513992793741426
AVL9,-0.5067686930953631
AVO2,-0.8246953895058068
AVT3,-0.855609789545817
AVT5,-0.30267139975831747
AVT6,-0.46964274679945744
AXL1,-0.4452333759873739
AYR1,-0.8904022558662619
AZF1,-0.9247561804071087
BAP2,-0.7078543975733984
BAT2,-0.6280756307171279
BBC1,-0.8755316178162662
BCY1,-0.9437007762673629
BDH2,-0.6152526181076187
BEM4,-0.749468332318484
BET2,-0.8660480500699947
BET3,-0.6928485325211569
BIG1,-0.737037241279525
BIK1,-0.37870877108663703
BLM10,-0.8429340999346421
BMH1,-0.2716347073452671
BMH2,-0.8609083413867613
BNA1,-0.741241729229431
BNA2,-0.9506100269191072
BNA4,-0.6067072098156253
BNA5,-0.8832793244856647
BNA6,-0.6370110000745115
BNA7,-0.8457028051863609
BNI1,-0.33615255661960647
BOI2,-0.041230402971697104
BOL1,-0.9408734505930164
BOS1,-0.44461189242604804
BPT1,-0.8590366127397088
BRO1,-0.6937808911459025
