Gene,Annotation,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
fepE,Ferric enterobactin transport protein FepE,FEPE_ECOLI,P26266,EG10297,377,fepE,b0587, JW0579
lacZ,Beta-galactosidase,BGAL_ECOLI,P00722,EG10527,1024,lacZ,b0344, JW0335
alkA,DNA-3-methyladenine glycosylase 2,3MG2_ECOLI,P04395,EG11222,282,alkA; aidA,b2068, JW2053
rtcA,RNA 3'-terminal phosphate cyclase,RTCA_ECOLI,P46849,EG12938,338,rtcA; yhgJ; yhgK,b4475, JW5688
phnP,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase",PHNP_ECOLI,P16692,EG10725,252,phnP,b4092, JW4053
ebgC,Evolved beta-galactosidase subunit beta,EBGC_ECOLI,P0AC73,EG10253,149,ebgC,b3077, JW3048
tmcA,tRNA(Met) cytidine acetyltransferase TmcA,TMCA_ECOLI,P76562,EG14196,671,tmcA; ypfI,b2474, JW2459
yjjV,putative metal-dependent hydrolase YjjV,YJJV_ECOLI,P39408,EG12598,259,yjjV,b4378, JW4341
hypC,Hydrogenase maturation factor HypC,HYPC_ECOLI,P0AAM3,EG10485,90,hypC,b2728, JW2698
rpmD,50S ribosomal protein L30,RL30_ECOLI,P0AG51,EG10888,59,rpmD,b3302, JW3264
rnc,Ribonuclease 3,RNC_ECOLI,P0A7Y0,EG10857,226,rnc,b2567, JW2551
hpf,Ribosome hibernation promoting factor,HPF_ECOLI,P0AFX0,EG11681,95,hpf; yhbH,b3203, JW3170
rpsJ,30S ribosomal protein S10,RS10_ECOLI,P0A7R5,EG10909,103,rpsJ; nusE,b3321, JW3283
fur,Ferric uptake regulation protein,FUR_ECOLI,P0A9A9,EG10359,148,fur,b0683, JW0669
ccmD,Heme exporter protein D,CCMD_ECOLI,P0ABM5,EG12169,69,ccmD; yojM,b2198, JW2186
rpmH,50S ribosomal protein L34,RL34_ECOLI,P0A7P5,EG10892,46,rpmH; rimA; ssaF,b3703, JW3680
nrdR,Transcriptional repressor NrdR,NRDR_ECOLI,P0A8D0,EG11320,149,nrdR; ybaD,b0413, JW0403
rplD,50S ribosomal protein L4,RL4_ECOLI,P60723,EG10867,201,rplD; eryA,b3319, JW3281
rng,Ribonuclease G,RNG_ECOLI,P0A9J0,EG11299,489,rng; cafA; yhdF,b3247, JW3216
yhbY,RNA-binding protein YhbY,YHBY_ECOLI,P0AGK4,EG12794,97,yhbY,b3180, JW3147
cspA,Cold shock protein CspA,CSPA_ECOLI,P0A9X9,EG10166,70,cspA; cspS,b3556, JW3525
uspA,Universal stress protein A,USPA_ECOLI,P0AED0,EG11390,144,uspA,b3495, JW3462
rpsS,30S ribosomal protein S19,RS19_ECOLI,P0A7U3,EG10918,92,rpsS,b3316, JW3278
rpmE,50S ribosomal protein L31,RL31_ECOLI,P0A7M9,EG10889,70,rpmE,b3936, JW3907
rpoZ,DNA-directed RNA polymerase subunit omega,RPOZ_ECOLI,P0A800,EG10899,91,rpoZ,b3649, JW3624
rraA,Regulator of ribonuclease activity A,RRAA_ECOLI,P0A8R0,EG11879,161,rraA; menG; yiiV,b3929, JW3900
nuoK,NADH-quinone oxidoreductase subunit K,NUOK_ECOLI,P0AFE4,EG12091,100,nuoK,b2279, JW2274
grxD,Glutaredoxin 4,GLRX4_ECOLI,P0AC69,EG12181,115,grxD; ydhD,b1654, JW1646
rpmC,50S ribosomal protein L29,RL29_ECOLI,P0A7M6,EG10887,63,rpmC,b3312, JW3274
metK,S-adenosylmethionine synthase,METK_ECOLI,P0A817,EG10589,384,metK; metX,b2942, JW2909
rplF,50S ribosomal protein L6,RL6_ECOLI,P0AG55,EG10869,177,rplF,b3305, JW3267
rplU,50S ribosomal protein L21,RL21_ECOLI,P0AG48,EG50001,103,rplU,b3186, JW3153
fadR,Fatty acid metabolism regulator protein,FADR_ECOLI,P0A8V6,EG10281,239,fadR; oleR; thdB,b1187, JW1176
ftsZ,Cell division protein FtsZ,FTSZ_ECOLI,P0A9A6,EG10347,383,ftsZ; sfiB; sulB,b0095, JW0093
csrA,Carbon storage regulator,CSRA_ECOLI,P69913,EG11447,61,csrA; zfiA,b2696, JW2666
fkpB,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,FKBX_ECOLI,P0AEM0,EG11080,149,fkpB; slpA; yaaD,b0028, JW0026
minE,Cell division topological specificity factor,MINE_ECOLI,P0A734,EG10598,88,minE,b1174, JW1163
yfcD,putative Nudix hydrolase YfcD,YFCD_ECOLI,P65556,EG14107,180,yfcD,b2299, JW2296
secY,Protein translocase subunit SecY,SECY_ECOLI,P0AGA2,EG10766,443,secY; prlA,b3300, JW3262
ynhF,putative protein YnhF,YNHF_ECOLI,A5A618,EG14016,29,ynhF,b4602, JW1649.1
rplP,50S ribosomal protein L16,RL16_ECOLI,P0ADY7,EG10877,136,rplP,b3313, JW3275
rpsA,30S ribosomal protein S1,RS1_ECOLI,P0AG67,EG10900,557,rpsA; ssyF,b0911, JW0894
hupB,DNA-binding protein HU-beta,DBHB_ECOLI,P0ACF4,EG10467,90,hupB; hopD,b0440, JW0430
rppH,RNA pyrophosphohydrolase,RPPH_ECOLI,P0A776,EG13091,176,rppH; nudH; ygdP,b2830, JW2798
rplK,50S ribosomal protein L11,RL11_ECOLI,P0A7J7,EG10872,142,rplK; relC,b3983, JW3946
mntS,Small protein MntS,MNTS_ECOLI,P0DKB3,EG14500,42,mntS; rybA,b4705, JW0800.1
plsY,putative glycerol-3-phosphate acyltransferase,PLSY_ECOLI,P60782,EG11674,205,plsY; ygiH,b3059, JW3031
rplS,50S ribosomal protein L19,RL19_ECOLI,P0A7K6,EG10880,115,rplS,b2606, JW2587
infA,Translation initiation factor IF-1,IF1_ECOLI,P69222,EG10504,72,infA,b0884, JW0867
atpE,ATP synthase subunit c,ATPL_ECOLI,P68699,EG10102,79,atpE; papH; uncE,b3737, JW3715
proB,Glutamate 5-kinase,PROB_ECOLI,P0A7B5,EG10768,367,proB,b0242, JW0232
